DATE,HEADLINE,SOURCE,URL,DESCRIPTION,API
2020-04-20,Fight Coronavirus BS in Your Facebook Newsfeed,Lifehacker.com,https://lifehacker.com/how-to-help-facebook-fight-coronavirus-bs-in-your-newsf-1842925605,"If you get your news from Facebook, that’s problem number one. Why? Well, it would take an effort of pandemic-response-sized proportions to get people to stop sharing bullshit on Facebook. And you see how well our pandemic response is going...Read more...",NEWS API
2020-04-20,Coronavirus News Fatigue Is Officially Setting In,Wired,https://www.wired.com/story/coronavirus-news-fatigue-is-officially-setting-in/,News fatigue isn't new. But it could indicate problematic changes in our behavior with respect to the pandemic.,NEWS API
2020-04-20,Don't Get Suckered by These Coronavirus Phishing Scams,Lifehacker.com,https://lifehacker.com/dont-get-suckered-by-these-coronavirus-phishing-scams-1842967378,"The severity of the COVID-19 pandemic is the perfect backdrop for scammers to try and sucker you with schemes. We’ve seen fake coronavirus tracker apps and fake charities, and now coronavirus-related phishing scams are on the rise, too. Read more...",NEWS API
2020-04-13,Today's Cartoon: Coronavirus Battle,Wired,https://www.wired.com/story/wired-cartoons-week-35/,A heroic effort.,NEWS API
2020-04-30,The Cubicle Is Back. Blame (or Thank) the Coronavirus,Wired,https://www.wired.com/story/cubicle-is-back-blame-thank-coronavirus/,"As businesses reopen, social distancing rules will lead to new partitions between workspaces, reminiscent of the fabric-clad dividers of the s.",NEWS API
2020-04-23,All the Ways to Kill a Coronavirus (So Far),Wired,https://www.wired.com/story/all-the-ways-to-kill-a-coronavirus-so-far/,Even a bug this ruthless has a few fatal weaknesses of its own.,NEWS API
2020-04-03,"The Biggest Coronavirus Myths, Busted",Wired,https://www.wired.com/story/the-biggest-coronavirus-myths-busted/,"No, drinking water won’t flush the virus out of your mouth. Here’s how to inoculate yourself against bad Covid-19 information.",NEWS API
2020-04-09,How to Spot a Fake Coronavirus Expert,Lifehacker.com,https://vitals.lifehacker.com/how-to-spot-a-fake-coronavirus-expert-1842780723,Here’s the thing about a pandemic: it’s everywhere. Everybody wants to read something reassuring. Everybody wants to say something useful. Everybody thinks their perspective matters. And most of us should just shut up so we can hear the actual eerts speak. …,NEWS API
2020-04-21,"Non-Filers, Request Coronavirus Relief Payment for Your Kids by Tomorrow",Lifehacker.com,https://twocents.lifehacker.com/non-filers-request-coronavirus-relief-payment-for-your-1842981763,"If you don’t typically file a tax return, you’re running out of time to request the $500-per-child coronavirus relief payment for your kids.Read more...",NEWS API
2020-04-08,Coronavirus: 100 giorni dal primo allarme,ANSA.it,https://www.ansa.it/sito/notizie/politica/2020/04/08/coronavirus-100-giorni-dal-primo-allarme_ae858053-8297-4ba2-8333-e48c27bac41e.html,Il dicembre la notifica della polmonite che ha cambiato mondo (ANSA),NEWS API
2020-04-20,The Covid-19 Newsletter That's By Doctors for Doctors,Wired,https://www.wired.com/story/the-covid-19-newsletter-thats-by-doctors-for-doctors/,A team of critical care specialists has a side project debunking questionable coronavirus theories for other medical professionals.,NEWS API
2020-04-21,How Is the Coronavirus Pandemic Affecting Climate Change?,Wired,https://www.wired.com/story/coronavirus-pandemic-climate-change/,"Sure, emissions have fallen. But a closer look at how the global crisis is influencing the environment reveals some surprising dynamics.",NEWS API
2020-04-22,Google Sees State-Sponsored Hackers Ramping Up Coronavirus Attacks,Wired,https://www.wired.com/story/google-state-sponsored-hackers-coronavirus-phishing-malware/,"More than government-backed groups are using the pandemic as cover for digital reconnaissance and espionage, according to a new report.",NEWS API
2020-04-08,Amazon extends return window amid coronavirus pandemic,Engadget,https://www.engadget.com/amazon-extends-return-window-coronavirus-191126398.html,"Amazon is temporarily extending its return policy window to help its customers during the coronavirus crisis. If you live in the US or Canada, you now have until May st to return any products you buy between now and April th through Amazon or one of the c…",NEWS API
2020-04-22,Researchers want social media companies to preserve coronavirus misinformation data,The Verge,https://www.theverge.com/2020/4/22/21231061/cpj-access-now-researchers-letter-social-media-platform-coronavirus-preserve-misinformation-data,"The Committee to Protect Journalists, Access Now, the EFF, and other organizations have asked social media companies to preserve misinformation takedown data during the coronavirus pandemic for future research and transparency purposes.",NEWS API
2020-04-21,The Pandemic Can Taint the Memory of Things We Love,Wired,https://www.wired.com/story/culture-coronavirus-covid-19-memories/,"Music, binge-watching, sourdough starters—these things are helping people cope. Will coronavirus also ruin them forever?",NEWS API
2020-04-06,,Lifehacker.com,https://lifehacker.com/gizmodo-could-trump-cancel-the-election-because-of-coro-1842704079,Gizmodo Could Trump Cancel the Election Because of Coronavirus? | The A.V. Club Not ready for prime time: animated series that didn’t make it a full season | Deadspin Retro Video Game Quarantine Hits the Hardwood with NES Double Dribble | The Root Blacks a…,NEWS API
2020-04-24,An Oral History of the Day Everything Changed,Wired,https://www.wired.com/story/an-oral-history-of-the-day-everything-changed-coronavirus/,"On March , , the coronavirus pandemic seemed to crystalize in the national consciousness. Americans look back on the turning point.",NEWS API
2020-04-28,Now Is the Time for Main Street Shops to Go Digital,Wired,https://www.wired.com/story/now-is-time-main-street-shops-go-digital/,WIRED editor in chief Nicholas Thompson talks to branding eert Amanda Brinkman about how America’s small businesses are coping with coronavirus,NEWS API
2020-04-20,Hundreds of academics back privacy-friendly coronavirus contact tracing apps,TechCrunch,http://techcrunch.com/2020/04/20/academics-contact-tracing/,"Hundreds of academics across the world have welcomed efforts to introduce privacy-friendly contact tracing systems to help understand the spread of coronavirus. A letter, signed by nearly academics and published Monday, praised recent announcements from A…",NEWS API
