DATE,HEADLINE,SOURCE,URL,DESCRIPTION,API
2020-04-30,The Latest: Former NHL enforcer Laraque tests positive,Associated Press,https://apnews.com/181e329c199c9129cd52fb93f2b53efa,The Latest on the effects of the coronavirus outbreak on sports around the world: ___ Former NHL enforcer Georges Laraque has tested positive for COVID-19.,GOOGLE NEWS API
2020-04-30,‘We Never Considered a Full Lockdown.’ South Korea’s Health Minister on the Country's Fight Against Coronavirus,Time,https://time.com/5830594/south-korea-covid19-coronavirus/,"But thanks to early preparations, and a robust public health response based around extensive testing and tech-powered contact tracing, the nation’s tally of infections has been kept to just ,765, ...",GOOGLE NEWS API
2020-04-30,‘Beyond What We Imagined’: Pitt Medical Students Create School-Wide Community Service Effort To Help Others During Coronavirus Pandemic,CBS Boston / WBZ,https://pittsburgh.cbslocal.com/2020/04/30/university-of-pittsburgh-students-create-412med/,Students at the University of Pittsburgh School of Medicine are still finding ways to pitch in during the coronavirus pandemic.,GOOGLE NEWS API
2020-04-30,The Latest: Broncos' Miller says he's now negative for virus,ABC,https://abcnews.go.com/Sports/wireStory/latest-french-soccer-raise-money-hospitals-70421486,Denver Broncos star linebacker Von Miller says he tested negative for the coronavirus two weeks after announcing he had been diagnosed with COVID-19 ...,GOOGLE NEWS API
2020-04-30,"The Latest: South Korea reports 9 new cases, none in Daegu",Associated Press,https://apnews.com/bb65de821dbff7c1ff32169d3336c97a,"The Latest on the coronavirus pandemic. The new coronavirus causes mild or moderate symptoms for most people. For some, especially older adults and people with existing health problems, it ...",GOOGLE NEWS API
2020-04-30,The actual spread of coronavirus in Orange County is still a mystery,Orange County Register,https://www.ocregister.com/2020/04/30/the-actual-spread-of-coronavirus-in-orange-county-is-still-a-mystery/,"But there’s so much we don’t know, including one critical data point that has eluded public health officials from the beginning: How many people have the disease, right now, in Orange County? For ...",GOOGLE NEWS API
2020-04-30,Coronavirus updates: Many states to ease restrictions by Friday,CBS News,https://www.cbsnews.com/live-updates/coronavirus-updates-2020-04-30/,There is still a divide in the U.S. about whether the country is moving too quickly or not fast enough to re-open.,GOOGLE NEWS API
2020-04-30,Coronavirus cases rise with more testing as Wisconsin lawmakers hear business lobby's plan to reopen the economy,Milwaukee Journal-Sentinel on MSN.com,https://www.msn.com/en-us/news/us/coronavirus-cases-rise-with-more-testing-as-wisconsin-lawmakers-hear-business-lobbys-plan-to-reopen-the-economy/ar-BB13rLMj,"The state’s business lobby put forward a plan to reopen Thursday, but GOP legislative leaders did not endorse it or provide one of their own.",GOOGLE NEWS API
2020-04-30,Well-connected Trump alumni benefit from coronavirus lobbying rush,SFGate,https://www.sfgate.com/news/article/Well-connected-Trump-alumni-benefit-from-15237898.php?ipid=newsrecirc,"As a wave of coronavirus restrictions shuttered more than two dozen of his hotels, Dallas hotelier Monty Bennett publicly pleaded for help. ""Every American should eect just enough from government ...",GOOGLE NEWS API
2020-04-30,Coronavirus: Broncos star Miller says he's been cleared of COVID-19,Omnisport on MSN.com,https://www.msn.com/en-gb/sports/tennis/coronavirus-broncos-star-miller-says-hes-been-cleared-of-covid-19/ar-BB13rTUM,"Denver Broncos linebacker Von Miller . Denver Broncos linebacker Von Miller revealed he has been cleared of coronavirus, two weeks after contracting COVID-19. Mill ...",GOOGLE NEWS API
